shopper_id,order_id,item_id
59IDX,GP521,8VUE5
59IDX,GP521,51A9O
59IDX,GP521,D6CFN
TTGHF,NZKJU,2VDKJ
6IKAH,R6TBX,1EOYW
QKT9C,OX066,93VXL
YFQA9,H5JQD,0MWOB
U1OPI,LSTC7,KDNZO
0DDBE,ZBR6C,72XC3
0DDBE,ZBR6C,A0S2J
23DVK,98PKS,QSJ0U
2NC86,K9N0Q,9DR17
PUNDM,Y2TER,EPJH0
ARYUM,1122T,396UI
83541,DERBY,EEKF2
F6J7E,XJMMV,NI6UV
F6J7E,XJMMV,85X60
F6J7E,XJMMV,F112J
3Y9UF,3N7DI,X4W1J
Q8ZPT,LLHTF,9OJAK
Q8ZPT,LLHTF,6DYVN
Q8ZPT,LLHTF,WOD85
Q8ZPT,LLHTF,RUEHY
4LKTD,2PHUK,WT735
4LKTD,2PHUK,AFYA6
HMAL6,LE3XV,KXWLN
HMAL6,LE3XV,TYG9R
HMAL6,LE3XV,X9IQL
Z2TIS,T4MDZ,FAJHH
FB546,B9MKX,8X2NZ
FB546,B9MKX,YR9EX
FB546,B9MKX,8VXZ0
XUCY4,VN06C,X1PLM
PJ84C,8MTOQ,4Z125
URABS,9FYXR,8F1N2
T6YDW,Z78Z8,G34BN
MKTEZ,S1MLX,GNLWE
LI1MW,TYKZJ,NU7Z9
LI1MW,TYKZJ,YGO1L
V7ZPX,FXG6G,OFNQ1
V7ZPX,FXG6G,XCAJK
W8G39,FNBVU,JTLUT
W8G39,FNBVU,57MPH
W8G39,FNBVU,CX45H
CNPV2,9V3RC,DK6EW
CNPV2,9V3RC,3555Y
CNPV2,9V3RC,ODNFZ
A75S3,ULMQI,JB8LK
A75S3,ULMQI,X0V2V
9CS1N,52NFH,2AKIJ
9CS1N,52NFH,IGXQS
97OQ0,4HXTF,534S4
97OQ0,4HXTF,90GUL
97OQ0,4HXTF,3IZLQ
XQ4LX,ANGAJ,NYEWO
XQ4LX,ANGAJ,FLMEA
XQ4LX,ANGAJ,6KPOU
2Y183,UJ6K7,3T5QD
RQCXT,XUU4Y,2KOGC
8SJGW,WGB0O,YOL98
8SJGW,WGB0O,721J2
CHDSM,5G1TV,I2T80
KUGE3,S70DC,N8G8W
ZSF25,ABPCG,C08AM
ZSF25,ABPCG,E004O
GS65P,VTPA1,5T3T4
20XA0,BOGVC,BY7ZP
20XA0,BOGVC,QANAY
UPCO4,0W0KA,1JNN7
5IBDJ,EGEQA,H8C07
708R1,NZHE5,8FZSF
EIH2J,OBAN6,YE4WO
RBHAX,DTBZH,WC9TL
CNPV2,M6MH1,BHSH9
CNPV2,M6MH1,OY4ET
RFPMM,QXJ42,L0ORW
S3DHH,3UZ1V,7W5WI
S3DHH,3UZ1V,TPLRK
D53L3,GYNLH,ECP2S
1ST9R,BL1AS,8E2N8
U2ES0,JXNJ1,Z1ZM8
IJPJZ,Z8CO0,BB450
IJPJZ,Z8CO0,E0W5D
IJPJZ,Z8CO0,3S86X
F3VXL,7WQNJ,DUKVW
QFT7M,XYBD3,XGJWX
9M2CI,2DIF4,CQ5VZ
31BAD,8HGI5,PFWZ6
N95L4,F1GXG,K8XCI
KS7CH,RNIGK,6V2BX
C0CRZ,N676F,OGBCU
C0CRZ,N676F,2SQ3H
99NKZ,MP9SU,HNHSG
NQ84J,VCIPJ,8IZBS
7P6RO,2UDD3,U6G5O
7P6RO,2UDD3,LYWPI
7P6RO,2UDD3,N4X4D
0GW2Q,E3L96,ASC3C
0GW2Q,E3L96,SCU5M
DRV2O,GH6J7,Y2JBU
UZ5CZ,EMJFD,WNNS8
UZ5CZ,EMJFD,IH2VJ
T0L95,B8UBU,2G8E8
5XRCJ,MJH8Z,7E7Z1
5XRCJ,MJH8Z,7AOFB
5XRCJ,MJH8Z,17V0X
NRW96,5N9FG,318CE
NN4YR,HDAYB,SEBNC
SK7MK,ZW358,0LSLN
DX7SM,PWHKB,8OIKH
X2MYO,14TBD,WLQ8P
CNPV2,3TB7R,1JJXD
7RR7Z,C9G1U,YRGQB
HGW3D,C293E,CCZJV
9AM40,0X0I0,B3ZWF
9AM40,ZMHUH,AGGM6
GS65P,43YF3,G22VL
1BYHY,GBNLK,5LE8M
IZ7H1,0EM1J,FQOBU
CNPV2,0Y0AB,E6ML3
IJPJZ,LT1XO,9XLJR
EVM16,51UMF,VCMYE
8VJJL,IF3MV,7PYEG
8VJJL,IF3MV,3L7DO
W90RP,NYIVQ,2E338
XBM07,DU1PN,4UORD
XBM07,DU1PN,WOSLY
3U2HO,0B1NG,6MI38
2KFTE,YGT5Q,O6DI2
HSGSK,4EIPS,T7KB1
SNZVZ,7BF9S,MGBUT
FR96M,RALKJ,XG6SE
FR96M,RALKJ,45CW8
CU0NU,H8WYR,RMPJD
7RVJN,R7PQJ,JPIFX
P4PYR,ZW7WA,SWCQW
LWN92,7O1KW,WSCQG
RGSVW,YPS7L,X6323
UP4QM,Z2SKH,0R39B
UP4QM,Z2SKH,2Q4XY
UP4QM,Z2SKH,R616M
LDP2V,U752I,TO9QQ
ROZ39,XU0TM,51PS6
53TW2,EGGBZ,A9OGD
JBMUS,4WUJ9,CCS73
GU88F,I4IA2,AYN1C
DHT4W,4XWXP,IAVLN
TAV2I,486PG,WQ0C6
ODC3W,IEVXU,7MHUS
3DQU6,3E51L,OJ7O7
GYNJS,LDJTS,JX0LE
ORDVS,IEE7X,1FAGS
5JXC0,VB71R,PJELF
VI2VN,JBZUS,7IFSP
NRW96,D60UA,FNV48
N57J4,BC0C0,X23Z2
N57J4,BC0C0,JLX8P
PYWOH,8Z3YE,FKSML
QCU4H,C8IQW,4U6KJ
DVVFS,LB25H,DV1US
QFT7M,QYP24,PKQPN
QFT7M,QYP24,HI4LB
YSXI6,4RRWT,BWI60
RGSVW,9I0L6,OBCA2
ED0SR,KEGCD,QSC9W
ED0SR,KEGCD,0GUVL
ED0SR,KEGCD,9OD0F
ED0SR,KEGCD,80FY2
FPP2X,F1DCA,QQAC1
D9XPV,5Z8GP,U9NIK
J0O6A,LN85D,BFOBV
AXDVR,V90W0,VMHT6
AXDVR,V90W0,CQMLR
AXDVR,V90W0,MEI2N
AXDVR,V90W0,RM2NN
AXDVR,V90W0,STF5T
IVAK8,3I71F,XK4CN
Q4U0S,DUW94,CXH8F
GA48D,0OU85,M4EUI
OTJ8K,YNN3V,4DCU1
OTJ8K,YNN3V,PTI26
7WK8W,BB1UK,TL8A9
RUQ46,KCQGR,HKF0M
V6PGR,RSZVY,EPPYH
V6PGR,RSZVY,2C3EO
V6PGR,RSZVY,47RZR
I3NZB,6Z3MM,637O6
0CZE6,2EK3H,QBNH8
PNM5I,8LCD8,U2NKR
225AC,7MVYD,MKJ2H
XUCY4,46X9W,FH2S5
XUCY4,46X9W,C1114
XUCY4,46X9W,G59YP
K85P4,5D05E,G5UFN
K85P4,5D05E,CJQXJ
BUIDR,JDUPP,LXFLV
7NH4D,CFY7E,0XQNX
53JXE,VKXQ7,X57WP
P1S6R,W3JCC,W6BPO
NL2AE,K8M5L,MOPHS
FGYNW,7OTND,3CPZZ
PPECZ,XGSNY,OJMCE
80RYL,RFHEJ,1T79W
80RYL,RFHEJ,0O7LM
T0L95,RA1U6,8A4C3
FSTOP,QTYFV,92QKI
HQICW,H6E77,TY43T
R9YLM,RS34U,LF2TK
W90RP,SLGLS,9RYSJ
GQ4X5,K1RCU,4K5V5
WZNB4,9IHFT,QAAHL
WZNB4,9IHFT,3RIN0
T7F8L,R54EJ,WDQMA
T7F8L,R54EJ,O6FAI
GWPT3,SN5GJ,RUFGV
GWPT3,SN5GJ,94MJ4
49949,FRGRW,NX85M
49949,FRGRW,2NTKE
49949,FRGRW,A0K0S
49949,FRGRW,0HHW7
LDP2V,6280U,7RTXW
TUF4I,LZMQR,C5GC2
8SJGW,DJ85X,WPTK7
F6J7E,5ZV72,0Y850
F6J7E,5ZV72,WGEOH
J8RJA,4UIME,9XGH2
J8RJA,4UIME,G7KWJ
TYKGO,CLT9O,R6DU2
8PE3A,O2YCU,RJMRG
8PE3A,O2YCU,HB2HH
8PE3A,O2YCU,PBT6A
8PE3A,O2YCU,W0XHR
EQS4S,TCX80,39EKO
9YD22,CFLHO,FK5BY
LCPS9,HR781,IAVFO
63SY1,GCLBG,D17IX
63SY1,GCLBG,5UQTE
9M2CI,98Y4X,7MDB1
YHDT3,3JQDH,SFICN
6U3UC,KIPJS,NSJFW
6U3UC,KIPJS,ALS7H
24H4A,LABB0,FFRAY
HGW3D,98DMO,5GFF7
5WPF8,QNPVS,NK82N
5WPF8,QNPVS,VVQA2
5WPF8,QNPVS,LCIK0
RP5FU,8MBXS,42VKB
YUQSE,JG85N,TP7Z3
C5XTQ,YD1UY,NADQ3
S8FF2,LSBGO,M45E9
QRB3N,NLTR9,42ZNJ
QRB3N,NLTR9,EIAA0
QRB3N,NLTR9,PBJ1G
ZMABB,Z0KFQ,SK3ZS
ZMABB,Z0KFQ,M470O
ZMABB,Z0KFQ,DN8XN
ZMABB,Z0KFQ,HJFGN
VOMZD,7Y7SB,TR99U
5WURH,NLVXM,4UOZN
8BLOK,13GBY,KPPC5
708R1,YEVYC,G5Q2R
VMW5Z,SLNRK,RW0W6
VMW5Z,SLNRK,V04UP
STJPU,9EX0S,DZN1L
F3VXL,7Z4PX,3O99L
K4W5W,Z4GIM,5WIMY
DC3E8,93EJ6,ESM9J
DC3E8,93EJ6,BNJSA
AIS2H,6KTT7,9DP80
AIS2H,6KTT7,I0VKB
UQUWO,4XROG,FV2KV
AIS2H,VO494,IFF0A
AIS2H,VO494,WA90X
920AI,H586U,LIV39
CHDSM,OESZ9,K9TAM
UERUY,WI619,RF189
AF94P,3K09Z,8OB70
AF94P,3K09Z,VU0UZ
AF94P,3K09Z,L3317
BCS4T,6SGV6,QMWIE
BCS4T,6SGV6,63W17
IVAK8,LXCVF,I8NW1
HAAGO,ETV3O,CK3IO
HAAGO,ETV3O,X35DX
HAAGO,ETV3O,8LVSL
HAAGO,ETV3O,Y0NJS
JLVC3,X967A,TM80E
JLVC3,X967A,8N20I
6CZ88,HL771,YPHEE
EVM16,Z8YZ8,095XP
6895C,REYVN,2FUO2
EINLV,CISQM,UGMXH
AISUN,GLHKV,F8R1M
P9FXA,QIBWD,Y2YCV
P9FXA,QIBWD,M3D00
SWQQY,MQKXY,WRCEH
N5LM5,BCXFQ,5E7HF
26CVS,GWKN3,Z96J3
26CVS,GWKN3,N80CV
QIHF4,8HFJN,JSWU6
KIGAN,CFSWV,3RYV5
GIYEX,TQDON,4YJ5A
ZICPK,U8A4S,JMURQ
AZJ9T,VIN8B,C9MWT
AZJ9T,VIN8B,YHN4M
AZJ9T,VIN8B,KUCNA
D6WUG,UXZJ8,ZT7TM
HEA27,G6KGR,QBD81
2DAER,DEVFO,JHNG4
EIGF6,FV3PM,WL1IO
EIGF6,FV3PM,W34PD
JWT9H,4UQ8J,0J8IZ
ETAIG,5ZZ1M,YWQFP
FXX0B,J0WJ6,LP2PY
67LDL,XGLL3,O9CKY
0FS6I,3SWLF,BWIEK
YHDT3,HXOHL,T1MC4
YHDT3,HXOHL,ECXO7
7E1JE,BPKTM,IF19M
RGSVW,EFS5F,0OHBJ
CYNR7,1BFZS,KLBUE
Y4QGH,2355U,CMYWN
FIVIA,2NUQO,96ILC
PNTR7,LATWR,GQPW5
V4O3W,4G42F,QGR28
6DZ19,036J7,WAAI1
0Y5OX,00TDC,YHD5V
OVU9W,1R6PG,LBRG5
QD5UT,S04SQ,S5X2M
FQFAD,UP3DB,9J5JC
KGGZ6,PF982,5BLD2
KGGZ6,PF982,T0OCA
ZH11I,3Y399,ESLFX
FAXWJ,DLPZB,9POM3
FAXWJ,DLPZB,XSVUJ
V35TG,KDUSN,AH4F2
NM40A,WTZ99,QZYXC
J0O6A,JL0A5,6L94S
97OQ0,A5UGH,EB30H
SZXD3,YBJ97,A7H4W
AVLMD,BQ9XY,V4LBM
LWBDM,B8AY9,4AI20
LWBDM,B8AY9,14I2F
LWBDM,B8AY9,1HHMH
NJ1VR,BJS5T,L58G1
NR6CU,KPCZ4,F0N0B
GU88F,D7MIG,3P3GO
00JYL,9YSDI,N7Y4S
TAV2I,H3AZT,JO5T8
TAV2I,H3AZT,ARCIF
A0M32,YS620,CXBRB
A0M32,YS620,OC9QQ
A0M32,YS620,RHHGT
W697R,8B9K1,2BE6A
ZHTQ8,U1QEG,I61UL
ZHTQ8,U1QEG,R05RN
ZHTQ8,U1QEG,IMO3K
ZHTQ8,U1QEG,LWX2V
RFPMM,O2FHM,SWHUB
RFPMM,O2FHM,V5BDV
RFPMM,O2FHM,MHWLK
J0O6A,BUXQJ,NSH3P
O4WTK,KBHDW,WNP2U
A81MX,5R589,TG9DU
A81MX,5R589,S0GTX
OOHUA,W2LE2,6BIRF
XQ4LX,DVBLD,YDLP5
QMOR0,FHJ6R,ZH7P7
3PNJ8,GG0EM,TK2MV
GD17A,LB72P,MWIO0
WTJMD,3BFQZ,CSNZ1
RNZHO,3M76S,CVCRT
RNZHO,3M76S,GZWNJ
RFPMM,PDMDM,DKMLV
RFPMM,PDMDM,JJ8PN
R47CP,DWCA6,K558U
P2D9W,KT60S,CB8JR
JQIC0,F6CIZ,MRPAP
80LXS,GUGS4,EMKH8
ZSF25,RW8EQ,3HMDI
PO8AI,D5Y91,5SJIB
96F4N,I4UJY,5JUBK
10UCS,Z90UZ,AF6I0
LI1MW,ZM6OH,WBLEO
PNM5I,OALHL,K4M6R
74XYN,78K9S,R7FC2
TAV2I,7G3CU,KWC6D
M73C3,SBGL0,BRB5P
JKCG6,YPYUU,Y6IAW
3C98L,E9X62,DRBIU
A0FJW,0VS5T,85H4J
GVRDR,HF5DT,RVH9F
GVRDR,HF5DT,BDOKH
GVRDR,HF5DT,OC6L1
GVRDR,HF5DT,MXSL7
GVRDR,HF5DT,BXMVG
GVRDR,HF5DT,8WSHW
P2D9W,D7IBU,NXG37
0EF7R,ZSR95,ST7IQ
EINLV,XUPNF,XM830
YBWM7,NMSNC,R5TI4
27RB1,Z1JCK,DRLWI
QAXK2,805XP,4ECS1
QRB3N,AKQKZ,ZN792
GJWYN,W2QQC,XXQXL
3CQPI,1DL76,0MLNE
8JKF9,Y9ZNA,9A27S
KB8R8,8FYNP,J7DJH
MX4YW,8RUGI,Y4JWO
V2A0I,EIBJS,J6ZE0
V2A0I,EIBJS,PZ6OL
OEI41,1J7BI,GCI12
8GTD0,7P3T4,2DQUU
SIKQI,TFYU9,UEBP3
P5RJ4,SJPCE,CZG85
0P5W0,XG5TY,06EDN
0P5W0,XG5TY,2QP7M
GMLU5,U8ZWX,14SDA
GMLU5,U8ZWX,1M0RQ
GMLU5,U8ZWX,FP1H0
GMLU5,U8ZWX,KEBSV
A0M32,QUS46,5TTKM
Z6X8K,P7R26,6VO0C
Z6X8K,P7R26,RW44Z
1OKWE,DHN13,6DFN6
3U2HO,HI9FF,RS3A5
EBDHF,0RH1O,GN9LY
UPAUX,66ZVQ,VJDA0
ZM96J,JPES4,S2ICE
OLLXJ,MDP1Q,QYELQ
CNPV2,2KLMZ,TRYYL
CNPV2,2KLMZ,NFWPN
HUZOR,JS64E,D9NM5
HUZOR,JS64E,UCPW2
7LRLH,VNU8Y,AJK00
7LRLH,VNU8Y,GLQWK
7LRLH,VNU8Y,PL766
U6JMO,0Y91Q,O9DEN
79FLS,RZZLX,4L2XX
KEE02,TG2AW,IDMZ3
KEE02,TG2AW,RHW45
KEE02,TG2AW,XZUZ2
2UAZO,CASSK,DQHHY
2UAZO,CASSK,GS2GT
W3LVC,ALTFI,3T4PO
AR01U,GKD4O,H5TB6
6WTO6,H5DT6,A4KDW
0Y5OX,N7DZP,BXC3Q
YHZ34,GHKLX,WGPQH
2P8UK,MFMBC,JDW0I
P2D9W,U5KMT,HDL32
E98WB,VFJGN,BGM3I
IRSEU,BHYVF,83V5X
0CZE6,DFW5S,ZAFE0
P7GNB,AI7CT,IGQLC
R9HR3,J62VG,4D2MU
UY5CP,3XRKT,DBH9Q
UY5CP,3XRKT,PTVUY
VHRYP,QDT4J,C0YYH
1RBTZ,3VNKJ,V5MGP
RNZHO,9PTDR,VMEQQ
EIGF6,C72KM,3E5V0
EIGF6,C72KM,G8I72
5MYL2,PB1DE,WY4WR
RRZQK,PRSB4,OBUIU
763SO,NY1I7,4YD1O
QQQBA,Q22A2,0O63G
PJ84C,A4FBS,WSA6O
UOLM7,6880H,HYYJS
UOLM7,6880H,B3FM6
UOLM7,6880H,XM2LQ
TYKGO,O39FB,60M3Y
W8G39,5701R,6SBA3
VW2PP,YS11W,6SVST
AU3T5,IGXTQ,NGF9G
QEEUO,HFTAG,AZQJE
PNTR7,KGEE0,IF99A
FR96M,FV5O5,2ZFLB
W90RP,XPTP1,U0CY0
W90RP,XPTP1,V2EZR
1GBVY,LB4NY,1DES1
JWUY2,HPHI3,G10R3
JWUY2,HPHI3,2C0YV
71W82,W7ZEI,4G9G9
71W82,W7ZEI,EGV83
71W82,W7ZEI,T4Q3Z
CS6IM,Z2XIR,OF3ZO
CS6IM,Z2XIR,W9P0I
CS6IM,Z2XIR,FL6K9
FQFAD,4ECG0,SLESU
FQFAD,4ECG0,E93WG
V2A0I,GZF03,71JLV
V2A0I,GZF03,R93Y0
1N1CN,SMI49,L8PPL
EBDHF,2N232,14YJ4
18CPE,EXNUV,1Q08U
18CPE,EXNUV,RO3IZ
FPKSJ,19U2N,R3KR0
Q7W81,6UYPL,VV6I7
Q7W81,6UYPL,OHEUT
KGGZ6,P73N2,B8SWY
KY1VR,3TBHL,FLS0E
1BYHY,F5HK0,T2I0U
AR01U,J7IDK,UBRPX
P9FXA,5CNF9,5D0Y8
6Y9PG,Q5B0F,Z2YWV
GS65P,GJ9DR,H9PVI
PCN8U,YWQ1O,BH8W0
GS65P,DMMB5,VW457
53DQU,BZFCM,8BGR0
1GGMN,EKT6W,JWT85
QJD0R,AKUJB,9QMAB
A0M32,NNARJ,X7FB2
MR3R6,F6T9K,NU9QI
R5Z9M,IY5CL,32LN8
DRV2O,8I874,HFW9M
P7GTN,PU79R,UR3HZ
P7GTN,PU79R,P6336
9MHZK,D9HKN,A59A3
YBWM7,SE0RN,TL0F6
YBWM7,SE0RN,7DONH
FQRAJ,40KH7,662XE
6OZK4,QNFMS,AWK7K
BBU3I,FPTMA,8E1Z7
BBU3I,FPTMA,JCYF6
KS373,BZBUX,GG9WS
58JA4,QWA0Z,PU4HZ
58JA4,QWA0Z,6UTTF
IIN44,FSAZR,1QOM1
R5Z9M,4O6ZC,PPZO5
WTJMD,8XSZI,5X631
6U497,T1R6H,DUPEV
FE0SE,9ZZ2Q,5N80Y
2G9J9,G8RFX,95F1G
2G9J9,G8RFX,JK427
9N633,SE1TR,QJR2X
L9X7F,1SEI5,8Z13F
Q7LY1,IIIY2,MKHH1
MK7BI,7RDHO,Z9N20
PCN8U,6835F,U629G
A2JRQ,XH388,FLBTG
A2JRQ,XH388,4Z2RA
KMD2W,Z40GK,Z3F0X
SE90A,MPU7Q,FZZ8X
SE90A,MPU7Q,ICJUC
S3DHH,UYMT3,5RUXL
V1IGF,SHIRW,K1YN0
V1IGF,SHIRW,1MDHQ
V1IGF,SHIRW,XL0PD
LMFUR,NPR1O,U2NNC
A24B0,ZUV1B,WI6HE
WGUTR,QWQD5,G9ETR
UKPH3,A8ZHD,814ZX
JKCG6,O6OG1,1XV02
ZICPK,39A2V,KC85X
ZICPK,39A2V,E0INN
SD33I,GETIK,AWHUB
1SXKW,PMR21,R34P5
1SXKW,PMR21,4RM2D
1SXKW,PMR21,95LWV
T3JRZ,3CBD0,VQ0I4
A75S3,DLOWU,9WTHE
9VY80,6CSCU,F8IOB
9VY80,6CSCU,MYQZC
BGLPL,O7DM9,UCREY
VIUXI,FDO6Q,0TXGP
VIUXI,FDO6Q,5NZN3
5HHJ1,T631N,HMKT7
HDSGS,VQXU2,B9G8T
HDSGS,VQXU2,8IJ3N
BBU3I,9BG53,3IEQN
BBU3I,9BG53,H07JX
W2ACO,9VIR2,RH3EY
Q9IV3,7GXO7,X3XE9
WZNB4,APLTU,PKC7T
QEEUO,Z1FFU,FUXJR
QEEUO,Z1FFU,90NNQ
SPU5K,7F6UT,85WZH
VMW5Z,9NB18,P3JEE
U3S47,IWM1R,A5335
U3S47,IWM1R,2H0PA
QD0E9,O224Q,RM39B
QD0E9,O224Q,A22ZS
KP5NH,Z8CJD,N37R2
CBJVC,DNQ51,VG14R
CBJVC,DNQ51,36KQW
B7KXS,DCWKG,O2LWT
B7KXS,DCWKG,TIY27
W0V3C,DDIUP,2DVAB
W0V3C,DDIUP,82K7W
XDA65,W5OBR,ZSB9N
RQCXT,WXXDT,LH0H0
HMAL6,3M8LI,XSFSM
5IIYT,X3BQW,O3TQ7
U3S47,HCZTK,RP73F
W0V3C,XCFTR,6T4JT
YGVB3,3LLKF,0UX3D
7E1JE,QRCLK,17S6C
7E1JE,QRCLK,HLDNI
MGXF5,P7A0I,ESY5J
DHT4W,ZAE54,HS69E
DHT4W,ZAE54,7F24L
DHT4W,ZAE54,B5LHE
DHT4W,ZAE54,ZK3FX
DHT4W,ZAE54,M6N61
H6WH9,QUEKW,TFFWW
UKPH3,7KMKS,9SF55
708R1,I9652,13ES1
708R1,I9652,LRASA
708R1,I9652,U3WU1
708R1,I9652,C1ZTD
3E6EG,8ICEU,C44DU
FR96M,HZQII,RFODW
2L86Q,Q07B1,UFJ7Z
NUQKP,LXMX3,K13TM
TYKGO,3TH0H,7QXMR
OLLXJ,ZWHUL,5VXZW
D4ZJJ,S32WT,E7J6S
D4ZJJ,S32WT,9A3HL
B41K6,B2SN7,WT7KC
9YE3S,LHECO,Y40M8
WQVIQ,EO50X,95TNZ
WQVIQ,EO50X,7MMVR
KXAQM,RNG2L,RQ9CX
U3YPO,P734F,78YYJ
CNPV2,K10UN,N8V5D
PETYC,HPX8G,OZTKK
KB8R8,ML7FB,CNZL3
KB8R8,ML7FB,W5T2G
KB8R8,ML7FB,UK80X
KB8R8,ML7FB,PSH03
KB8R8,9MJJZ,3HVFR
9CS1N,AEIAK,FHV5D
9CS1N,AEIAK,PBWS6
DJ9Q8,BIN2P,LZV75
H6WH9,4GWZ1,TM1UX
8NXJS,PLE15,T927K
LDP2V,D02O0,96KY7
8I2TB,VGVP6,ZQW0X
WFI6M,CLKAO,26NY9
B9F3A,5P9CS,IES51
B9F3A,5P9CS,FXYVK
P3FPZ,UN414,23ZOS
P3FPZ,UN414,VR7BM
0DT9P,YPPIB,ESQ5G
0DT9P,YPPIB,06R7C
ED0SR,BO57S,N651K
EVM6I,SA0KF,IZE3I
EVM6I,SA0KF,RKQ42
R47CP,F1V2W,4RJTP
IVCLP,ML4DJ,ORH0V
KMD2W,20B41,VVPT8
TOC4X,6MUI2,LAFED
58Z4Y,QY4GL,XAXKS
58Z4Y,QY4GL,RAE9X
1OKWE,C3HUI,LSIGZ
Q8VC1,2Z6ZJ,NIUQB
Q8VC1,2Z6ZJ,NMNDY
Q8VC1,2Z6ZJ,D1UFO
V7XH3,CW54E,GX30R
SNZVZ,RB7T0,R6MU1
XQ4LX,23T4O,T9FGX
V35TG,2EQ8D,5P8LZ
BRACZ,M9MMI,8TUF2
0Y5OX,X68JH,L1KOD
D53L3,7EVDE,2WHR0
NTJ7C,U6DJW,14WTK
R9HR3,IBG7A,A1XCA
5HHJ1,WUBE8,0793W
P7GTN,80VUA,I0UC2
P7GTN,80VUA,DUN49
W90RP,TUWAN,VANUG
K8UA4,5TA9X,XBKLC
ZH11I,W7TEQ,RS5EH
ZH11I,W7TEQ,HSRVW
JNF81,4HBZI,DKC9J
3E6EG,JZ5S8,A5YH6
IVAK8,MA81B,59RPA
20XA0,BDAE7,3ZR3R
P5Q44,9HMTR,D58HY
P5Q44,9HMTR,7DNJL
HC5BE,EE9XX,11HAL
5GRXX,CPXLW,TA115
R5Z9M,ZTQ9Q,0G6HR
R5Z9M,ZTQ9Q,PAQPC
Y8JU3,6DJN4,2H4CS
QFT7M,TXGC7,0RG9B
PO8AI,OWJYK,IZN6B
02C6X,JGUPV,HGDQR
02C6X,JGUPV,CNBS6
SK7MK,WYO4M,Z1VIW
SK7MK,WYO4M,C6A4B
HKQJE,VD54X,QD1U2
RNZHO,EDGF2,3GYUQ
RNZHO,EDGF2,9QUQA
RNZHO,UQJIX,5LGSK
3JYV6,0ECV4,7ZITG
OLB76,PHVAE,2BPDR
OLB76,PHVAE,UTI5V
7RVJN,XC609,PM7VH
FZ9NL,1C4YU,6V35O
I3NZB,AXQA2,VEIOJ
I3NZB,AXQA2,WALVE
LWBDM,YUF5L,3UZXE
AVLMD,L5BWY,F0INB
FSTOP,33B4W,UL192
C3VBR,MJ9F4,YNUWA
A9FZY,6OFKW,5PFIN
A9FZY,6OFKW,9PA69
A9FZY,6OFKW,0846V
GIIMF,M7NHK,LABO8
5MYL2,GOBNA,S8LDR
CS6IM,5AWD1,5MO7R
CS6IM,5AWD1,M1T4I
8SJGW,U5WS2,B2SAN
FXX0B,US40O,WFYZ8
71W82,HU98E,R2WK9
TOC4X,UAS5V,MHT7R
QONFU,8PYBG,GIJ88
QONFU,8PYBG,D3Y3T
9N633,JPZA5,6QE8U
9N633,JPZA5,1EW0L
9N633,JPZA5,U49C1
1ST9R,IRJFR,VW0OX
UNWNQ,EML2J,HF042
XD7BS,H6Q91,O2SAP
XD7BS,H6Q91,LHP4N
DKMZI,QMQB5,Y15VN
DKMZI,QMQB5,7NFFM
095NV,EQ86E,0ANAR
ZMABB,6MTZ4,YZHN8
WQVIQ,U0QDJ,4KBGI
UIMGB,9L2CT,A21LL
7E1JE,B8AFV,4F8U7
7E1JE,B8AFV,M5JVS
7E1JE,B8AFV,X1TIZ
LCPS9,HWU23,X9HKJ
FDB35,ELAKU,4Z34P
PJ84C,27O7L,9ZLP9
PJ84C,27O7L,PWXG5
QCU4H,ERS76,ZZKHZ
EINLV,V3IVI,O3X5J
PLP53,K2CQK,ADKFC
2G9J9,M0X44,SLAYE
QNZJQ,SWIF1,OYCRV
W90RP,NOV89,WNH9J
6RXFG,OAQEW,RQTQR
BL1LV,MD2IC,J8O0B
GS65P,P12EI,UXXU4
GS65P,P12EI,GUI6B
OKNGF,OUA5B,SZAZO
QZTYG,XSRDW,OIXHT
0CKPE,FAHBW,3WJQ2
58JA4,JB4PE,ON8G8
58JA4,JB4PE,QNMPO
KNBNP,C0HNE,OATJV
7WK8W,ARKYI,USH12
EYJ2E,SFDBO,XWQ1X
EYJ2E,SFDBO,NIDES
2AHQ9,E5UW8,UF7S5
2AHQ9,E5UW8,JY4OT
0CKPE,OXFNH,GQO71
ALLL5,7YNJ0,0YWDF
T7F8L,E810I,WZ3H2
IJPJZ,TQTHE,OTOPM
8JKF9,2O49Y,7IPBQ
8JKF9,2O49Y,VSR35
TTGZ0,0XYHE,ZEIBN
SIKQI,C785J,A9RFT
EGXWH,6W0HO,SF782
FAXWJ,2GW0P,7DHRN
FE0SE,DMBMU,YYEH6
4CD2W,3TK03,UTXYC
N95L4,QRQJ0,2IJCH
6ZJBP,ZS2TT,JE8BU
KS7CH,BU0ED,3SRH1
PYWOH,SR43S,T6IFG
PYWOH,SR43S,8G4JO
PYWOH,SR43S,IIIFT
E1F12,LK9Q6,L0ZBA
E1F12,LK9Q6,1TQDP
D53L3,0LPZF,I50I2
I8SUU,FFEY6,382H9
ZZUG5,JUI2Y,IC62A
W2ACO,XH29W,2BUCZ
Y2A63,CIFDO,NWOGY
KIGAN,TSOYA,RE9AG
7RR7Z,QVQVG,P3CSI
ZMABB,LCP1Z,2C7PG
ZMABB,LCP1Z,RMZD9
5DX5J,FAOJE,SOB01
AR01U,Q94QX,8DGQB
HBLJU,DVADU,QZ22V
